id;name;username;email;kd_pwk;role;nm_pemda;password;
418;Kab. Parigi Moutong;Kab_Parigi;Kab_Parigi@mail.com;PW19;Pemerintah Daerah;Kab. Parigi Moutong;password;
419;Kab. Poso;Kab_Poso;Kab_Poso@mail.com;PW19;Pemerintah Daerah;Kab. Poso;password;
420;Kab. Sigi;Kab_Sigi;Kab_Sigi@mail.com;PW19;Pemerintah Daerah;Kab. Sigi;password;
421;Kab. Tojo Una-Una;Kab_Tojo;Kab_Tojo@mail.com;PW19;Pemerintah Daerah;Kab. Tojo Una-Una;password;
422;Kab. Toli-Toli;Kab_Tolitoli;Kab_Tolitoli@mail.com;PW19;Pemerintah Daerah;Kab. Toli-Toli;password;
423;Kota Palu;Kota_Palu;Kota_Palu@mail.com;PW19;Pemerintah Daerah;Kota Palu;password;
424;Prov. Sulawesi Selatan;Prov_Sulawesi_Selatan;Prov_Sulawesi_Selatan@mail.com;PW21;Pemerintah Daerah;Prov. Sulawesi Selatan;password;
425;Kab. Bantaeng;Kab_Bantaeng;Kab_Bantaeng@mail.com;PW21;Pemerintah Daerah;Kab. Bantaeng;password;
426;Kab. Barru;Kab_Barru;Kab_Barru@mail.com;PW21;Pemerintah Daerah;Kab. Barru;password;
427;Kab. Bone;Kab_Bone;Kab_Bone@mail.com;PW21;Pemerintah Daerah;Kab. Bone;password;
428;Kab. Bulu Kumba;Kab_Bulkum;Kab_Bulkum@mail.com;PW21;Pemerintah Daerah;Kab. Bulu Kumba;password;
429;Kab. Enrekang;Kab_Enrekang;Kab_Enrekang@mail.com;PW21;Pemerintah Daerah;Kab. Enrekang;password;
430;Kab. Gowa;Kab_Gowa;Kab_Gowa@mail.com;PW21;Pemerintah Daerah;Kab. Gowa;password;
431;Kab. Jeneponto;Kab_Jeneponto;Kab_Jeneponto@mail.com;PW21;Pemerintah Daerah;Kab. Jeneponto;password;
432;Kab. Luwu;Kab_Luwu;Kab_Luwu@mail.com;PW21;Pemerintah Daerah;Kab. Luwu;password;
433;Kab. Luwu Timur;Kab_Lutim;Kab_Lutim@mail.com;PW21;Pemerintah Daerah;Kab. Luwu Timur;password;
434;Kab. Luwu Utara;Kab_Luwut;Kab_Luwut@mail.com;PW21;Pemerintah Daerah;Kab. Luwu Utara;password;
435;Kab. Maros;Kab_Maros;Kab_Maros@mail.com;PW21;Pemerintah Daerah;Kab. Maros;password;
436;Kab. Pangkep;Kab_Pangkep;Kab_Pangkep@mail.com;PW21;Pemerintah Daerah;Kab. Pangkep;password;
437;Kab. Pinrang;Kab_Pinrang;Kab_Pinrang@mail.com;PW21;Pemerintah Daerah;Kab. Pinrang;password;
438;Kab. Kepulauan Selayar;Kab_Selayar;Kab_Selayar@mail.com;PW21;Pemerintah Daerah;Kab. Kepulauan Selayar;password;
439;Kab. Sidrap;Kab_Sidrap;Kab_Sidrap@mail.com;PW21;Pemerintah Daerah;Kab. Sidrap;password;
440;Kab. Sinjai;Kab_Sinjai;Kab_Sinjai@mail.com;PW21;Pemerintah Daerah;Kab. Sinjai;password;
441;Kab. Soppeng;Kab_Soppeng;Kab_Soppeng@mail.com;PW21;Pemerintah Daerah;Kab. Soppeng;password;
442;Kab. Takalar;Kab_Takalar;Kab_Takalar@mail.com;PW21;Pemerintah Daerah;Kab. Takalar;password;
443;Kab. Tanatoraja;Kab_Tanatoraja;Kab_Tanatoraja@mail.com;PW21;Pemerintah Daerah;Kab. Tanatoraja;password;
444;Kab. Toraja Utara;Kab_Toraja;Kab_Toraja@mail.com;PW21;Pemerintah Daerah;Kab. Toraja Utara;password;
445;Kab. Wajo;Kab_Wajo;Kab_Wajo@mail.com;PW21;Pemerintah Daerah;Kab. Wajo;password;
446;Kota Makassar;Kota_Makassar;Kota_Makassar@mail.com;PW21;Pemerintah Daerah;Kota Makassar;password;
447;Kota Palopo;Kota_Palopo;Kota_Palopo@mail.com;PW21;Pemerintah Daerah;Kota Palopo;password;
448;Kota Pare-Pare;Kota_Pare-Pare;Kota_Pare-Pare@mail.com;PW21;Pemerintah Daerah;Kota Pare-Pare;password;
449;Prov. Sulawesi Tenggara;Prov_Sulawesi_Tenggara;Prov_Sulawesi_Tenggara@mail.com;PW20;Pemerintah Daerah;Prov. Sulawesi Tenggara;password;
450;Kab. Bombana;Kab_Bombana;Kab_Bombana@mail.com;PW20;Pemerintah Daerah;Kab. Bombana;password;
451;Kab. Buton;Kab_Buton;Kab_Buton@mail.com;PW20;Pemerintah Daerah;Kab. Buton;password;
452;Kab. Buton Utara;Kab_Butonra;Kab_Butonra@mail.com;PW20;Pemerintah Daerah;Kab. Buton Utara;password;
453;Kab. Kolaka;Kab_Kolaka;Kab_Kolaka@mail.com;PW20;Pemerintah Daerah;Kab. Kolaka;password;
454;Kab. Kolaka Timur;Kab_Kolatim;Kab_Kolatim@mail.com;PW20;Pemerintah Daerah;Kab. Kolaka Timur;password;
455;Kab. Kolaka Utara;Kab_Kolaut;Kab_Kolaut@mail.com;PW20;Pemerintah Daerah;Kab. Kolaka Utara;password;
456;Kab. Konawe;Kab_Konawe;Kab_Konawe@mail.com;PW20;Pemerintah Daerah;Kab. Konawe;password;
457;Kab. Konawe Kepulauan;Kab_Konakep;Kab_Konakep@mail.com;PW20;Pemerintah Daerah;Kab. Konawe Kepulauan;password;
458;Kab. Konawe Selatan;Kab_Konasel;Kab_Konasel@mail.com;PW20;Pemerintah Daerah;Kab. Konawe Selatan;password;
459;Kab. Konawe Utara;Kab_Konaut;Kab_Konaut@mail.com;PW20;Pemerintah Daerah;Kab. Konawe Utara;password;
460;Kab. Muna;Kab_Muna;Kab_Muna@mail.com;PW20;Pemerintah Daerah;Kab. Muna;password;
461;Kab. Wakatobi;Kab_Wakatobi;Kab_Wakatobi@mail.com;PW20;Pemerintah Daerah;Kab. Wakatobi;password;
462;Kota Bau-Bau;Kota_Baubau;Kota_Baubau@mail.com;PW20;Pemerintah Daerah;Kota Bau-Bau;password;
463;Kota Kendari;Kota_Kendari;Kota_Kendari@mail.com;PW20;Pemerintah Daerah;Kota Kendari;password;
464;Kab. Buton Selatan;Kab_Busel;Kab_Busel@mail.com;PW20;Pemerintah Daerah;Kab. Buton Selatan;password;
465;Kab. Buton Tengah;Kab_Buteng;Kab_Buteng@mail.com;PW20;Pemerintah Daerah;Kab. Buton Tengah;password;
466;Kab. Muna Barat;Kab_Mubar;Kab_Mubar@mail.com;PW20;Pemerintah Daerah;Kab. Muna Barat;password;
467;Prov. Bali;Prov_Bali;Prov_Bali@mail.com;PW22;Pemerintah Daerah;Prov. Bali;password;
468;Kab. Badung;Kab_Badung;Kab_Badung@mail.com;PW22;Pemerintah Daerah;Kab. Badung;password;
469;Kab. Bangli;Kab_Bangli;Kab_Bangli@mail.com;PW22;Pemerintah Daerah;Kab. Bangli;password;
470;Kab. Buleleng;Kab_Buleleng;Kab_Buleleng@mail.com;PW22;Pemerintah Daerah;Kab. Buleleng;password;
471;Kab. Gianyar;Kab_Gianyar;Kab_Gianyar@mail.com;PW22;Pemerintah Daerah;Kab. Gianyar;password;
472;Kab. Jembrana;Kab_Jembrana;Kab_Jembrana@mail.com;PW22;Pemerintah Daerah;Kab. Jembrana;password;
473;Kab. Karang Asem;Kab_Karangasem;Kab_Karangasem@mail.com;PW22;Pemerintah Daerah;Kab. Karang Asem;password;
474;Kab. Klungkung;Kab_Klungkung;Kab_Klungkung@mail.com;PW22;Pemerintah Daerah;Kab. Klungkung;password;
475;Kab. Tabanan;Kab_Tabanan;Kab_Tabanan@mail.com;PW22;Pemerintah Daerah;Kab. Tabanan;password;
476;Kota Denpasar;Kota_Denpasar;Kota_Denpasar@mail.com;PW22;Pemerintah Daerah;Kota Denpasar;password;
477;Prov. Nusa Tenggara Barat;Prov_Nusa_Tenggara_Barat;Prov_Nusa_Tenggara_Barat@mail.com;PW23;Pemerintah Daerah;Prov. Nusa Tenggara Barat;password;
478;Kab. Bima;Kab_Bima;Kab_Bima@mail.com;PW23;Pemerintah Daerah;Kab. Bima;password;
479;Kab. Dompu;Kab_Dompu;Kab_Dompu@mail.com;PW23;Pemerintah Daerah;Kab. Dompu;password;
480;Kab. Lombok Barat;Kab_Lombar;Kab_Lombar@mail.com;PW23;Pemerintah Daerah;Kab. Lombok Barat;password;
481;Kab. Lombok Timur;Kab_Lomtim;Kab_Lomtim@mail.com;PW23;Pemerintah Daerah;Kab. Lombok Timur;password;
482;Kab. Lombok Utara;Kab_Lomut;Kab_Lomut@mail.com;PW23;Pemerintah Daerah;Kab. Lombok Utara;password;
483;Kab. Sumbawa;Kab_Sumbawa;Kab_Sumbawa@mail.com;PW23;Pemerintah Daerah;Kab. Sumbawa;password;
484;Kab. Sumbawa Barat;Kab_Sumbawat;Kab_Sumbawat@mail.com;PW23;Pemerintah Daerah;Kab. Sumbawa Barat;password;
485;Kab. Lombok Tengah;Kab_Lomteng;Kab_Lomteng@mail.com;PW23;Pemerintah Daerah;Kab. Lombok Tengah;password;
486;Kota Bima;Kota_Bima;Kota_Bima@mail.com;PW23;Pemerintah Daerah;Kota Bima;password;
487;Kota Mataram;Kota_Mataram;Kota_Mataram@mail.com;PW23;Pemerintah Daerah;Kota Mataram;password;
488;Prov. Nusa Tenggara Timur;Prov_Nusa_Tenggara_Timur;Prov_Nusa_Tenggara_Timur@mail.com;PW24;Pemerintah Daerah;Prov. Nusa Tenggara Timur;password;
489;Kab. Alor;Kab_Alor;Kab_Alor@mail.com;PW24;Pemerintah Daerah;Kab. Alor;password;
490;Kab. Belu;Kab_Belu;Kab_Belu@mail.com;PW24;Pemerintah Daerah;Kab. Belu;password;
491;Kab. Ende;Kab_Ende;Kab_Ende@mail.com;PW24;Pemerintah Daerah;Kab. Ende;password;
492;Kab. Flores Timur;Kab_Flores;Kab_Flores@mail.com;PW24;Pemerintah Daerah;Kab. Flores Timur;password;
493;Kab. Kupang;Kab_Kupang;Kab_Kupang@mail.com;PW24;Pemerintah Daerah;Kab. Kupang;password;
494;Kab. Lembata;Kab_Lembata;Kab_Lembata@mail.com;PW24;Pemerintah Daerah;Kab. Lembata;password;
495;Kab. Malaka;Kab_Malaka;Kab_Malaka@mail.com;PW24;Pemerintah Daerah;Kab. Malaka;password;
496;Kab. Manggarai;Kab_Manggarai;Kab_Manggarai@mail.com;PW24;Pemerintah Daerah;Kab. Manggarai;password;
497;Kab. Manggarai Barat;Kab_Mangbar;Kab_Mangbar@mail.com;PW24;Pemerintah Daerah;Kab. Manggarai Barat;password;
498;Kab. Manggarai Timur;Kab_Mangtim;Kab_Mangtim@mail.com;PW24;Pemerintah Daerah;Kab. Manggarai Timur;password;
499;Kab. Nagekeo;Kab_Nagekeo;Kab_Nagekeo@mail.com;PW24;Pemerintah Daerah;Kab. Nagekeo;password;
500;Kab. Ngada;Kab_Ngada;Kab_Ngada@mail.com;PW24;Pemerintah Daerah;Kab. Ngada;password;
501;Kab. Rote Ndao;Kab_Rote;Kab_Rote@mail.com;PW24;Pemerintah Daerah;Kab. Rote Ndao;password;
502;Kab. Sabu Raijua;Kab_Sabu;Kab_Sabu@mail.com;PW24;Pemerintah Daerah;Kab. Sabu Raijua;password;
503;Kab. Sikka;Kab_Sikka;Kab_Sikka@mail.com;PW24;Pemerintah Daerah;Kab. Sikka;password;
504;Kab. Sumba Barat;Kab_Sumbar;Kab_Sumbar@mail.com;PW24;Pemerintah Daerah;Kab. Sumba Barat;password;
505;Kab. Sumba Barat Daya;Kab_Sumbaya;Kab_Sumbaya@mail.com;PW24;Pemerintah Daerah;Kab. Sumba Barat Daya;password;
506;Kab. Sumba Tengah;Kab_Sumbat;Kab_Sumbat@mail.com;PW24;Pemerintah Daerah;Kab. Sumba Tengah;password;
507;Kab. Sumba Timur;Kab_Sumur;Kab_Sumur@mail.com;PW24;Pemerintah Daerah;Kab. Sumba Timur;password;
508;Kab. Timor Tengah Selatan;Kab_TTS;Kab_TTS@mail.com;PW24;Pemerintah Daerah;Kab. Timor Tengah Selatan;password;
509;Kab. Timor Tengah Utara;Kab_TTU;Kab_TTU@mail.com;PW24;Pemerintah Daerah;Kab. Timor Tengah Utara;password;
510;Kota Kupang;Kota_Kupang;Kota_Kupang@mail.com;PW24;Pemerintah Daerah;Kota Kupang;password;
511;Prov. Maluku;Prov_Maluku;Prov_Maluku@mail.com;PW25;Pemerintah Daerah;Prov. Maluku;password;
512;Kab. Buru;Kab_Buru;Kab_Buru@mail.com;PW25;Pemerintah Daerah;Kab. Buru;password;
513;Kab. Buru Selatan;Kab_Bursel;Kab_Bursel@mail.com;PW25;Pemerintah Daerah;Kab. Buru Selatan;password;
514;Kab. Kep. Aru;Kab_Aru;Kab_Aru@mail.com;PW25;Pemerintah Daerah;Kab. Kep. Aru;password;
515;Kab. Maluku Barat Daya;Kab_Mabaya;Kab_Mabaya@mail.com;PW25;Pemerintah Daerah;Kab. Maluku Barat Daya;password;
516;Kab. Maluku Tengah;Kab_Mateng;Kab_Mateng@mail.com;PW25;Pemerintah Daerah;Kab. Maluku Tengah;password;
517;Kab. Maluku Tenggara;Kab_Mara;Kab_Mara@mail.com;PW25;Pemerintah Daerah;Kab. Maluku Tenggara;password;
518;Kab. Maluku Tenggara Barat (Kab. Kep. Tanimbar);Kab_Matera;Kab_Matera@mail.com;PW25;Pemerintah Daerah;Kab. Maluku Tenggara Barat (Kab. Kep. Tanimbar);password;
519;Kab. Seram Bagian Barat;Kab_Serat;Kab_Serat@mail.com;PW25;Pemerintah Daerah;Kab. Seram Bagian Barat;password;
520;Kab. Seram Bagian Timur;Kab_Setim;Kab_Setim@mail.com;PW25;Pemerintah Daerah;Kab. Seram Bagian Timur;password;
521;Kota Ambon;Kota_Ambon;Kota_Ambon@mail.com;PW25;Pemerintah Daerah;Kota Ambon;password;
522;Kota Tual;Kota_Tual;Kota_Tual@mail.com;PW25;Pemerintah Daerah;Kota Tual;password;
523;Prov. Maluku Utara;Prov_Maluku_Utara;Prov_Maluku_Utara@mail.com;PW33;Pemerintah Daerah;Prov. Maluku Utara;password;
524;Kab. Halmahera Barat;Kab_Halbar;Kab_Halbar@mail.com;PW33;Pemerintah Daerah;Kab. Halmahera Barat;password;
525;Kab. Halmahera Selatan;Kab_Halsel;Kab_Halsel@mail.com;PW33;Pemerintah Daerah;Kab. Halmahera Selatan;password;
526;Kab. Halmahera Tengah;Kab_Halteng;Kab_Halteng@mail.com;PW33;Pemerintah Daerah;Kab. Halmahera Tengah;password;
527;Kab. Halmahera Timur;Kab_Haltim;Kab_Haltim@mail.com;PW33;Pemerintah Daerah;Kab. Halmahera Timur;password;
528;Kab. Halmahera Utara;Kab_Halut;Kab_Halut@mail.com;PW33;Pemerintah Daerah;Kab. Halmahera Utara;password;
529;Kab. Kepl. Sula;Kab_Sula;Kab_Sula@mail.com;PW33;Pemerintah Daerah;Kab. Kepl. Sula;password;
530;Kab. Pulau Morotai;Kab_Morotai;Kab_Morotai@mail.com;PW33;Pemerintah Daerah;Kab. Pulau Morotai;password;
531;Kab. Pulau Taliabu;Kab_Taliabu;Kab_Taliabu@mail.com;PW33;Pemerintah Daerah;Kab. Pulau Taliabu;password;
532;Kota Ternate;Kota_Ternate;Kota_Ternate@mail.com;PW33;Pemerintah Daerah;Kota Ternate;password;
533;Kota Tidore Kepulauan;Kota_Tidore;Kota_Tidore@mail.com;PW33;Pemerintah Daerah;Kota Tidore Kepulauan;password;
534;Prov. Papua;Prov_Papua;Prov_Papua@mail.com;PW26;Pemerintah Daerah;Prov. Papua;password;
535;Kab. Biak Numfor;Kab_Biak;Kab_Biak@mail.com;PW26;Pemerintah Daerah;Kab. Biak Numfor;password;
536;Kab. Jayapura;Kab_Jayapura;Kab_Jayapura@mail.com;PW26;Pemerintah Daerah;Kab. Jayapura;password;
537;Kab. Keerom;Kab_Keerom;Kab_Keerom@mail.com;PW26;Pemerintah Daerah;Kab. Keerom;password;
538;Kab. Kepulauan Yapen;Kab_Yapen;Kab_Yapen@mail.com;PW26;Pemerintah Daerah;Kab. Kepulauan Yapen;password;
539;Kab. Mamberamo Raya;Kab_Mamra;Kab_Mamra@mail.com;PW26;Pemerintah Daerah;Kab. Mamberamo Raya;password;
540;Kab. Sarmi;Kab_Sarmi;Kab_Sarmi@mail.com;PW26;Pemerintah Daerah;Kab. Sarmi;password;
541;Kab. Supiori;Kab_Supiori;Kab_Supiori@mail.com;PW26;Pemerintah Daerah;Kab. Supiori;password;
542;Kab. Waropen;Kab_Waropen;Kab_Waropen@mail.com;PW26;Pemerintah Daerah;Kab. Waropen;password;
543;Kota Jayapura;Kota_Jayapura;Kota_Jayapura@mail.com;PW26;Pemerintah Daerah;Kota Jayapura;password;
544;Prov. Papua Barat;Prov_Papua_Barat;Prov_Papua_Barat@mail.com;PW27;Pemerintah Daerah;Prov. Papua Barat;password;
545;Kab. Fak-Fak;Kab_Fakfak;Kab_Fakfak@mail.com;PW27;Pemerintah Daerah;Kab. Fak-Fak;password;
546;Kab. Kaimana;Kab_Kaimana;Kab_Kaimana@mail.com;PW27;Pemerintah Daerah;Kab. Kaimana;password;
547;Kab. Manokwari;Kab_Manokwari;Kab_Manokwari@mail.com;PW27;Pemerintah Daerah;Kab. Manokwari;password;
548;Kab. Manokwari Selatan;Kab_Manosel;Kab_Manosel@mail.com;PW27;Pemerintah Daerah;Kab. Manokwari Selatan;password;
549;Kab. Pegunungan Arfak;Kab_Arfak;Kab_Arfak@mail.com;PW27;Pemerintah Daerah;Kab. Pegunungan Arfak;password;
550;Kab. Teluk Bintuni;Kab_Bintuni;Kab_Bintuni@mail.com;PW27;Pemerintah Daerah;Kab. Teluk Bintuni;password;
551;Kab. Teluk Wondama;Kab_Wondama;Kab_Wondama@mail.com;PW27;Pemerintah Daerah;Kab. Teluk Wondama;password;
552;Prov. Papua Selatan;Prov_Papua_Selatan;Prov_Papua_Selatan@mail.com;PW26;Pemerintah Daerah;Prov. Papua Selatan;password;
553;Kab. Asmat;Kab_Asmat;Kab_Asmat@mail.com;PW26;Pemerintah Daerah;Kab. Asmat;password;
554;Kab. Boven Digoel;Kab_Bogoel;Kab_Bogoel@mail.com;PW26;Pemerintah Daerah;Kab. Boven Digoel;password;
555;Kab. Mappi;Kab_Mappi;Kab_Mappi@mail.com;PW26;Pemerintah Daerah;Kab. Mappi;password;
556;Kab. Merauke;Kab_Merauke;Kab_Merauke@mail.com;PW26;Pemerintah Daerah;Kab. Merauke;password;
557;Prov. Papua Tengah;Prov_Papua_Tengah;Prov_Papua_Tengah@mail.com;PW26;Pemerintah Daerah;Prov. Papua Tengah;password;
558;Kab. Deiyai;Kab_Deiyai;Kab_Deiyai@mail.com;PW26;Pemerintah Daerah;Kab. Deiyai;password;
559;Kab. Dogiyai;Kab_Dogiyai;Kab_Dogiyai@mail.com;PW26;Pemerintah Daerah;Kab. Dogiyai;password;
560;Kab. Intan Jaya;Kab_Intanjaya;Kab_Intanjaya@mail.com;PW26;Pemerintah Daerah;Kab. Intan Jaya;password;
561;Kab. Mimika;Kab_Mimika;Kab_Mimika@mail.com;PW26;Pemerintah Daerah;Kab. Mimika;password;
562;Kab. Nabire;Kab_Nabire;Kab_Nabire@mail.com;PW26;Pemerintah Daerah;Kab. Nabire;password;
563;Kab. Paniai;Kab_Paniai;Kab_Paniai@mail.com;PW26;Pemerintah Daerah;Kab. Paniai;password;
564;Kab. Puncak;Kab_Puncak;Kab_Puncak@mail.com;PW26;Pemerintah Daerah;Kab. Puncak;password;
565;Kab. Puncak Jaya;Kab_Puncakjaya;Kab_Puncakjaya@mail.com;PW26;Pemerintah Daerah;Kab. Puncak Jaya;password;
566;Prov. Papua Pegunungan;Prov_Papua_Pegunungan;Prov_Papua_Pegunungan@mail.com;PW26;Pemerintah Daerah;Prov. Papua Pegunungan;password;
567;Kab. Jayawijaya;Kab_Jayawijaya;Kab_Jayawijaya@mail.com;PW26;Pemerintah Daerah;Kab. Jayawijaya;password;
568;Kab. Lanny Jaya;Kab_Lannyjaya;Kab_Lannyjaya@mail.com;PW26;Pemerintah Daerah;Kab. Lanny Jaya;password;
569;Kab. Mamberamo Tengah;Kab_Mamteng;Kab_Mamteng@mail.com;PW26;Pemerintah Daerah;Kab. Mamberamo Tengah;password;
570;Kab. Nduga;Kab_Nduga;Kab_Nduga@mail.com;PW26;Pemerintah Daerah;Kab. Nduga;password;
571;Kab. Pegunungan Bintang;Kab_Bintang;Kab_Bintang@mail.com;PW26;Pemerintah Daerah;Kab. Pegunungan Bintang;password;
572;Kab. Tolikara;Kab_Tolikara;Kab_Tolikara@mail.com;PW26;Pemerintah Daerah;Kab. Tolikara;password;
573;Kab. Yahukimo;Kab_Yahukimo;Kab_Yahukimo@mail.com;PW26;Pemerintah Daerah;Kab. Yahukimo;password;
574;Kab. Yalimo;Kab_Yalimo;Kab_Yalimo@mail.com;PW26;Pemerintah Daerah;Kab. Yalimo;password;
575;Prov. Papua Barat Daya;Prov_Papua_Barat_Daya;Prov_Papua_Barat_Daya@mail.com;PW27;Pemerintah Daerah;Prov. Papua Barat Daya;password;
576;Kab. Kep. Raja Ampat;Kab_Rajaampat;Kab_Rajaampat@mail.com;PW27;Pemerintah Daerah;Kab. Kep. Raja Ampat;password;
577;Kab. Maybrat;Kab_Maybrat;Kab_Maybrat@mail.com;PW27;Pemerintah Daerah;Kab. Maybrat;password;
578;Kab. Sorong;Kab_Sorong;Kab_Sorong@mail.com;PW27;Pemerintah Daerah;Kab. Sorong;password;
579;Kab. Sorong Selatan;Kab_Sotan;Kab_Sotan@mail.com;PW27;Pemerintah Daerah;Kab. Sorong Selatan;password;
580;Kab. Tambrauw;Kab_Tambrauw;Kab_Tambrauw@mail.com;PW27;Pemerintah Daerah;Kab. Tambrauw;password;
581;Kota Sorong;Kota_Sorong;Kota_Sorong@mail.com;PW27;Pemerintah Daerah;Kota Sorong;password;
